tesco,ppg industries,cnh global
paychex,ceb,freedom holding
broadvision,cms energy,freds
rh,quanta services,automatic data processing
fastly,linkedin,personalis
foot locker,mbia,energy fuels
active power,cyan,hercules offshore
hewlett packard enterprise,aqua america,netgear
rite aid,asbury automotive group,synopsys
dropbox,penn national gaming,cracker barrel old country store
first community,healthcare trust of america,k swiss
northern trust,ubs ag,comscore
arbitron,pacific coast oil trust,hatteras financial
transunion,sps commerce,bats global markets
texas instruments,foot locker,prospect capital
potbelly,pinnacle entertainment,renren
whole foods market,franco nevada,top ships
tim hortons,pioneer natural resources,hff
tech data,choice hotels international,body central
clean harbors,ciena,athenahealth
reis,acadia pharmaceuticals,protective insurance
caesars entertainment,infinera,nve
live nation entertainment,blackstone mortgage trust,active network
ilg,gigamon,oasis petroleum
cdi,kbw,fortive
national instruments,rambus,istar
fat brands,brinker international,ulta beauty
books a million,fmc technologies,annies
reald,myriad genetics,lender processing services
arch coal,iconix brand group,range resources
novan,osi systems,hni
broadcom,liberty property trust,mict
yum brands,rcs capital,lrad
hubbell,stec,level 3 communications
dexcom,rex energy,cancer genetics
tennant,ultra petroleum,cafepress
cabelas,lorillard,smtc
rli,opower,sanderson farms
belo,archer daniels midland,material sciences
tredegar,epizyme,first acceptance
zep,bally technologies,nyse euronext
primerica,jones energy,jd com
vf,camden property trust,total system services
ericsson,ryder systems,firstenergy
hyatt hotels,control4,parkway properties
retailmenot,cvent,lgi homes
dr horton,visteon,paypal holdings
avista,interoil,southwestern energy
netsuite,pulte group,oncocyte
2 u,splunk,eog resources
ferro,pharmacyclics,solarcity
kimberly clark,kaiser aluminum,radius health
orbit international,empire state realty trust,cirrus logic
career education,national financial partners,qorvo
ptc,advanced micro devices,imperva
tsr,vertex pharmaceuticals,kite pharma
blue earth,united natural foods,matrix service
nautilus,vornado realty trust,yadkin financial
williams sonoma,hillshire brands,extra space storage
kohls,allegheny technologies,barrick gold
usg,boulder brands,microsemi
black hills,bonanza creek energy,jarden
green dot,burlington stores,on semiconductor
macys,hasbro,navient
manitowoc,citrix systems,denbury resources
orbital atk,buckle,dril quip
pitney bowes,american pacific,yext
federal signal,liberty interactive,cincinnati financial
cts,ascena retail group,elevate credit
salem media group,customers bancorp,proofpoint
trueblue,baker hughes,westrock
jetblue airways,parker hannifin,huntington bancshares
zynga,newfield exploration,netapp
curis,concho resources,precision castparts
kinder morgan,consolidated edison,hawaiian holdings
tns,gnc holdings,sunrun
chesapeake energy,consolidated graphics,fortinet
presidio,manhattan associates,axiall
rpc,coleman cable,intrexon
sealy,chicago bridge & iron,marine products
five below,ultratech,alere
kbr,geron,editas medicine
palo alto networks,costar group,bok financial
nio,santarus,gcp applied technologies
bemis,zulily,national oilwell varco
iaa,magellan health,deckers outdoor
tower international,heartland express,realty income
wex,first foundation,tableau software
koss,bank of nova scotia,outerwall
kraft heinz,ezcorp,neophotonics
stepan,xoom,american water works
first capital,watsco,itc holdings
slm,autohome,us foods holding
shaw group,nvr,paycom software
ishares,aramark,blue buffalo pet products
allergan,suncoke energy,sprouts farmers market
baker hughes,aercap holdings,zoetis
dominos pizza,lexington realty trust,lifepoint health
innerworkings,cgg,gatx
genuine parts,amc entertainment holdings,greenbrier companies
joy global,gfi group,surgical care affiliates
black knight,wright medical group,luxoft holding
wendys,cal maine foods,universal display
gannett,nii holdings,amicus therapeutics
tribune publishing,arena pharmaceuticals,castlight health
unilever,avnet,epam systems
olin,westlake chemical,axsome therapeutics
libbey,digital river,eqt
copart,brown forman,sonic automotive
knight transportation,brown & brown,popeyes louisiana kitchen
sothebys,marathon oil,ebix
stoneridge,pmc sierra,senior housing properties trust
electronic arts,avery dennison,canadian solar
retail value,sprint nextel,workhorse group
biogen,akamai technologies,exelixis
kansas city southern,cec entertainment,pan american silver
health net,exelon,lkq
dollar tree,ppl,encana
laureate education,amtech systems,pure storage
cyan,amerisourcebergen,nimble storage
south state,cf industries holdings,ch robinson worldwide
bluefly,cameco,ishares trust
carbon black,juniper networks,main street capital
fireeye,str holdings,vivint solar
national commerce,maxwell technologies,hanesbrands
skyworks solutions,tyler technologies,chesapeake utilities
kemper,kaydon,tailored brands
gms,itt educational services,evertec
irobot,spectrum pharmaceuticals,disney walt
cable one,bank of hawaii,ringcentral
norfolk southern,tech data,diamond offshore drilling
sonos,ariad pharmaceuticals,pervasive software
ross stores,associated estates realty,quanex building products
telecommunications systems,bancorp,lsc communications
shotspotter,rosetta stone,stag industrial
jamba,vocera communications,affymetrix
simpson manufacturing,petmed express,global x funds
toll brothers,enphase energy,amplify snack brands
carbonite,first financial holdings,milestone scientific
american public education,qiagen,verint systems
zulily,sandisk,seres therapeutics
vermillion,titan machinery,terraform power
aceto,blackrock,ameren
american eagle outfitters,optimer pharmaceuticals,vista outdoor
graco,clayton williams energy,ruckus wireless
spectra energy,genworth financial,walgreens boots alliance
coty,luminex,armstrong flooring
gaia,intermune,rex american resources
culp,baxter international,cca industries
pepsico,vitamin shoppe,qlogic
elong,life technologies,secureworks
matson,pcm,value line
home properties,pebblebrook hotel trust,integrated device technology
reynolds american,clean harbors,flowers foods
lorillard,hamilton lane,hologic
alleghany,biomarin pharmaceutical,ims health holdings
moodys,msci,plug power
grubhub,pdl biopharma,equinix
equity residential,acuity brands,red rock resorts
kior,informatica,aegion
saia,vmware,four corners property trust
community financial,healthcare services group,united fire group
diagnostics,rochester medical,applied micro circuits
quest diagnostics,csx,tellurian
kirklands,nexen,southern copper
beyond air,geoeye,gamco investors
multi color,kennametal,empire resorts
bce,gentex,hospira
burlington stores,conocophillips,scotts miracle gro
mgm resorts international,international game technology,exactech
davita,cno financial group,mednax
precision drilling,e2open,agrium
cardinal health,corning,kraton
panasonic,ellie mae,sage therapeutics
united parcel service,bloomin brands,teradata
wayfair,square,fossil group
carvana,mcdermott international,turning point brands
las vegas sands,robbins & myers,carlisle companies
k12,cognex,siteone landscape supply
petsmart,zagg,memorial resource development
alexanders,analog devices,virgin media
globalstar,syntel,tegna
momo,sally beauty holdings,treehouse foods
power one,wageworks,cormedix
immunogen,cloud peak energy,sigma aldrich
magna international,alpha natural resources,merrimack pharmaceuticals
steel dynamics,viropharma,shoe carnival
ameriprise financial,eagle materials,analogic
baozun,forest labs,jones lang lasalle
novavax,sarepta therapeutics,magnum hunter resources
sapient,wms industries,jolla pharmaceutical
funko,medical properties trust,5 global
evergy,garrison capital,artesian resources
american pacific,susser holdings,nutanix
bojangles,pss world medical,spark therapeutics
change healthcare,essex property trust,zoes kitchen
splunk,generac holdings,paccar
control4,chubb,celator pharmaceuticals
sanofi,tenneco,great plains energy
gilead sciences,mondelez international,demandware
chart industries,heartland payment systems,ew scripps company
colfax,monroe capital,dermira
molson coors brewing,airgas,nanthealth
zoom video communications,crown holdings,nuvasive
msci,trimble,chemours
nxt,prudential plc,bluebird bio
neenah,freeport mcmoran,cooper companies
clearfield,patterson uti energy,foundation medicine
kubota,northwest biotherapeutics,agios pharmaceuticals
diamondback energy,sandridge permian trust,arrow electronics
globe life,proto labs,cavium
lhc group,incyte,western refining
sysco,parsley energy,microvision
