,gvkey,permno,ticker,names.firms,names.firms.1,regexes,done
1176,30220,80534,SYPR,SYPRIS SOLUTIONS INC,SYPRIS SOLUTIONS,,1
1177,10247,52038,SYY,SYSCO CORP,SYSCO,,1
1178,24841,77262,TTES,T-3 ENERGY SERVICES INC,T-3 ENERGY SERVICES,T.?3 ENERGY SERVICES,1
1179,17874,91937,TMUS,T-MOBILE US INC,T-MOBILE US,T.?MOBILE,1
1180,17695,13914,DATA,TABLEAU SOFTWARE INC,TABLEAU SOFTWARE,,1
1181,26788,16308,TRHC,TABULA RASA HEALTHCARE INC,TABULA RASA HEALTHCARE,,1
1182,26847,16186,TCMD,TACTILE SYSTEMS TECHNOLOGY,TACTILE SYSTEMS TECH*,,1
1183,64630,84761,TTWO,TAKE-TWO INTERACTIVE SFTWR,TAKE-TWO INTERACTIVE SFTWR,TAKE.?TWO INTERACTIVE ,1
1184,165244,90910,TLEO,TALEO CORP,TALEO,,1
1185,192458,14471,TLMR,TALMER BANCORP INC,TALMER BANCORP,,1
1186,18899,14325,TNDM,TANDEM DIABETES CARE INC,TANDEM DIABETES CARE,,1
1187,140541,88661,TPR,TAPESTRY INC,TAPESTRY,TAPESTRY INC*,1
1188,3813,49154,TGT,TARGET CORP,TARGET,TARGET CORP*,1
1189,34941,17357,TH,TARGET HOSPITALITY CORP,TARGET HOSPITALITY,,1
1190,108449,89530,TAYC,TAYLOR CAPITAL GROUP INC,TAYLOR CAPITAL,,1
1191,16653,13862,TMHC,TAYLOR MORRISON HOME CORP,TAYLOR MORRISON HOME,,1
1192,15363,10375,TCF,TCF FINANCIAL CORP,TCF FINANCIAL,,1
1193,10353,65752,TISI,TEAM INC,TEAM,TEAM INC*,1
1194,161071,90488,TEAR,TEARLAB CORP,TEARLAB,,1
1195,12171,10182,TECD,TECH DATA CORP,TECH DATA,TECH DATA CORP*,1
1196,177111,92052,TTGT,TECHTARGET INC,TECHTARGET,,1
1197,166449,91370,TWLL,TECHWELL INC,TECHWELL,,1
1198,18114,14675,TGEN,TECOGEN INC,TECOGEN,,1
1199,10386,74932,TECU,TECUMSEH PRODUCTS CO,TECUMSEH PRODUCTS,,1
1200,18066,14006,TLRA,TELARIA INC,TELARIA,,1
1201,138613,88574,TSYS,TELECOMMUNICATION SYS INC,TELECOMMUNICATION SYS,,1
1202,126721,87445,TDY,TELEDYNE TECHNOLOGIES INC,TELEDYNE TECH*,,1
1203,10407,44329,TFX,TELEFLEX INC,TELEFLEX,,1
1204,184101,93401,TNAV,TELENAV INC,TELENAV,,1
1205,10411,63773,TDS,TELEPHONE & DATA SYSTEMS INC,TELEPHONE & DATA SYSTEMS,TELEPHONE AND DATA SYSTEMS|TELEPHONE & DATA SYSTEMS,1
1206,5888,43634,TLGT,TELIGENT INC,TELIGENT,,1
1207,10420,75257,TLAB,TELLABS INC,TELLABS,,1
1208,10441,75460,TNC,TENNANT CO,TENNANT,,1
1209,20739,14831,TERP,TERRAFORM POWER INC,TERRAFORM POWER,,1
1210,62313,84157,TMRK,TERREMARK WORLDWIDE INC,TERREMARK WORLDWIDE,,1
1211,170969,13456,TSRO,TESARO INC,TESARO,,1
1212,24783,77191,TTEK,TETRA TECH INC,TETRA TECH,,1
1213,21237,76127,TTI,TETRA TECHNOLOGIES INC/DE,TETRA TECH* INC/DE,TETRA TECHNOLOGY INC*,1
1214,150306,89826,TCBI,TEXAS CAPITAL BANCSHARES INC,TEXAS CAPITAL BANCSHARES,,1
1215,10498,40694,TXI,TEXAS INDUSTRIES INC,TEXAS INDUSTRIES,,1
1216,160376,90427,TXRH,TEXAS ROADHOUSE INC,TEXAS ROADHOUSE,,1
1217,17581,14005,TXTR,TEXTURA CORP,TEXTURA,,1
